At. num,Sp. Name,Ion Charge,El. Name,Binding Energy (a) (eV),Uncertainty (b) (eV)
"27","Co XVII","+16","Cobalt","34478","11"
"27","Co XVIII","+17","Cobalt","33931","11"
"27","Co XIX","+18","Cobalt","32533","11"
"27","Co XX","+19","Cobalt","31028","11"
"27","Co XXI","+20","Cobalt","29423","7"
"27","Co XXII","+21","Cobalt","27699","4"
"27","Co XXIII","+22","Cobalt","25855","3"
"27","Co XXIV","+23","Cobalt","23894.6","2.0"
"27","Co XXV","+24","Cobalt","21775.187","0.007"
"27","Co XXVI","+25","Cobalt","19556.3113","0.0011"
"27","Co XXVII","+26","Cobalt","10012.1297","0.0004"
"28","Ni I","0","Nickel","41355","21"
"28","Ni II","+1","Nickel","41347","21"
"28","Ni III","+2","Nickel","41330","21"
"28","Ni IV","+3","Nickel","41294","21"
"28","Ni V","+4","Nickel","41240","21"
"28","Ni VI","+5","Nickel","41164","21"
"28","Ni VII","+6","Nickel","41056","21"
"28","Ni VIII","+7","Nickel","40923","21"
"28","Ni IX","+8","Nickel","40761","21"
"28","Ni X","+9","Nickel","40569","21"
"28","Ni XI","+10","Nickel","40343","21"
"28","Ni XII","+11","Nickel","40025","20"
"28","Ni XIII","+12","Nickel","39672","20"
"28","Ni XIV","+13","Nickel","39288","20"
"28","Ni XV","+14","Nickel","38859","19"
"28","Ni XVI","+15","Nickel","38395","17"
"28","Ni XVII","+16","Nickel","37901","16"
"28","Ni XVIII","+17","Nickel","37329","16"
"28","Ni XIX","+18","Nickel","36723","16"
"28","Ni XX","+19","Nickel","35182","16"
"28","Ni XXI","+20","Nickel","33536","14"
"28","Ni XXII","+21","Nickel","31778","9"
"28","Ni XXIII","+22","Nickel","29898","4"
"28","Ni XXIV","+23","Nickel","27890","3"
"28","Ni XXV","+24","Nickel","25759.2","2.1"
"28","Ni XXVI","+25","Nickel","23463.538","0.007"
"28","Ni XXVII","+26","Nickel","21064.2795","0.0011"
"28","Ni XXVIII","+27","Nickel","10775.3948","0.0004"
"29","Cu I","0","Copper","45000","30"
"29","Cu II","+1","Copper","45000","30"
"29","Cu III","+2","Copper","44980","30"
"29","Cu IV","+3","Copper","44940","30"
"29","Cu V","+4","Copper","44880","30"
"29","Cu VI","+5","Copper","44800","30"
"29","Cu VII","+6","Copper","44700","30"
"29","Cu VIII","+7","Copper","44560","30"
"29","Cu IX","+8","Copper","44390","30"
"29","Cu X","+9","Copper","44190","30"
"29","Cu XI","+10","Copper","43960","30"
"29","Cu XII","+11","Copper","43700","30"
"29","Cu XIII","+12","Copper","43330","25"
"29","Cu XIV","+13","Copper","42930","25"
"29","Cu XV","+14","Copper","42493","24"
"29","Cu XVI","+15","Copper","42010","24"
"29","Cu XVII","+16","Copper","41491","22"
"29","Cu XVIII","+17","Copper","40938","20"
"29","Cu XIX","+18","Copper","40306","19"
"29","Cu XX","+19","Copper","39635","19"
"29","Cu XXI","+20","Copper","37945","19"
"29","Cu XXII","+21","Copper","36145","15"
"29","Cu XXIII","+22","Copper","34227","11"
"29","Cu XXIV","+23","Copper","32183","5"
"29","Cu XXV","+24","Copper","30003","4"
"29","Cu XXVI","+25","Copper","27696.1","2.2"
"29","Cu XXVII","+26","Copper","25217.008","0.007"
"29","Cu XXVIII","+27","Copper","22630.0546","0.0012"
"29","Cu XXIX","+28","Copper","11567.6237","0.0005"
"30","Zn I","0","Zinc","48840","30"
"30","Zn II","+1","Zinc","48830","30"
"30","Zn III","+2","Zinc","48810","30"
"30","Zn IV","+3","Zinc","48770","30"
"30","Zn V","+4","Zinc","48710","30"
"30","Zn VI","+5","Zinc","48630","30"
"30","Zn VII","+6","Zinc","48520","30"
"30","Zn VIII","+7","Zinc","48390","30"
"30","Zn IX","+8","Zinc","48220","30"
"30","Zn X","+9","Zinc","48010","30"
"30","Zn XI","+10","Zinc","47770","30"
"30","Zn XII","+11","Zinc","47500","30"
"30","Zn XIII","+12","Zinc","47190","30"
"30","Zn XIV","+13","Zinc","46770","30"
"30","Zn XV","+14","Zinc","46320","30"
"30","Zn XVI","+15","Zinc","45830","30"
"30","Zn XVII","+16","Zinc","45290","30"
"30","Zn XVIII","+17","Zinc","44710","25"
"30","Zn XIX","+18","Zinc","44097","22"
"30","Zn XX","+19","Zinc","43399","22"
"30","Zn XXI","+20","Zinc","42662","22"
"30","Zn XXII","+21","Zinc","40816","21"
"30","Zn XXIII","+22","Zinc","38854","17"
"30","Zn XXIV","+23","Zinc","36769","12"
"30","Zn XXV","+24","Zinc","34556","5"
"30","Zn XXVI","+25","Zinc","32197","4"
"30","Zn XXVII","+26","Zinc","29705.7","2.5"
"30","Zn XXVIII","+27","Zinc","27035.879","0.007"
"30","Zn XXIX","+28","Zinc","24253.8829","0.0015"
"30","Zn XXX","+29","Zinc","12388.9427","0.0006"
"31","Ga I","0","Gallium","52870","50"
"31","Ga II","+1","Gallium","52850","50"
"31","Ga III","+2","Gallium","52830","50"
"31","Ga IV","+3","Gallium","52800","50"
"31","Ga V","+4","Gallium","52740","50"
"31","Ga VI","+5","Gallium","52660","50"
"31","Ga VII","+6","Gallium","52540","50"
"31","Ga VIII","+7","Gallium","52410","50"
"31","Ga IX","+8","Gallium","52230","50"
"31","Ga X","+9","Gallium","52020","50"
"31","Ga XI","+10","Gallium","51780","50"
"31","Ga XII","+11","Gallium","51500","40"
"31","Ga XIII","+12","Gallium","51180","40"
"31","Ga XIV","+13","Gallium","50820","40"
"31","Ga XV","+14","Gallium","50350","40"
"31","Ga XVI","+15","Gallium","49840","40"
"31","Ga XVII","+16","Gallium","49300","40"
"31","Ga XVIII","+17","Gallium","48690","40"
"31","Ga XIX","+18","Gallium","48060","40"
"31","Ga XX","+19","Gallium","47370","40"
"31","Ga XXI","+20","Gallium","46610","40"
"31","Ga XXII","+21","Gallium","45800","40"
"31","Ga XXIII","+22","Gallium","43790","40"
"31","Ga XXIV","+23","Gallium","41660","30"
"31","Ga XXV","+24","Gallium","39407","24"
"31","Ga XXVI","+25","Gallium","37015","6"
"31","Ga XXVII","+26","Gallium","34471","4"
"31","Ga XXVIII","+27","Gallium","31789","3"
"31","Ga XXIX","+28","Gallium","28920.487","0.007"
"31","Ga XXX","+29","Gallium","25936.0609","0.0017"
"31","Ga XXXI","+30","Gallium","13239.5029","0.0007"
"32","Ge I","0","Germanium","57080","50"
"32","Ge II","+1","Germanium","57070","50"
"32","Ge III","+2","Germanium","57060","50"
"32","Ge IV","+3","Germanium","57020","50"
"32","Ge V","+4","Germanium","56970","50"
"32","Ge VI","+5","Germanium","56880","50"
"32","Ge VII","+6","Germanium","56770","50"
"32","Ge VIII","+7","Germanium","56620","50"
"32","Ge IX","+8","Germanium","56450","50"
"32","Ge X","+9","Germanium","56230","50"
"32","Ge XI","+10","Germanium","55980","50"
"32","Ge XII","+11","Germanium","55690","50"
"32","Ge XIII","+12","Germanium","55370","50"
"32","Ge XIV","+13","Germanium","55000","50"
"32","Ge XV","+14","Germanium","54590","50"
"32","Ge XVI","+15","Germanium","54070","40"
"32","Ge XVII","+16","Germanium","53500","40"
"32","Ge XVIII","+17","Germanium","52890","40"
"32","Ge XIX","+18","Germanium","52220","40"
"32","Ge XX","+19","Germanium","51520","40"
"32","Ge XXI","+20","Germanium","50770","40"
"32","Ge XXII","+21","Germanium","49940","40"
"32","Ge XXIII","+22","Germanium","49060","40"
"32","Ge XXIV","+23","Germanium","46880","40"
"32","Ge XXV","+24","Germanium","44570","40"
"32","Ge XXVI","+25","Germanium","42140","30"
"32","Ge XXVII","+26","Germanium","39563","7"
"32","Ge XXVIII","+27","Germanium","36827","5"
"32","Ge XXIX","+28","Germanium","33945","3"
"32","Ge XXX","+29","Germanium","30871.160","0.007"
"32","Ge XXXI","+30","Germanium","27676.8675","0.0021"
"32","Ge XXXII","+31","Germanium","14119.4457","0.0009"
"33","As I","0","Arsenic","61470","60"
"33","As II","+1","Arsenic","61460","60"
"33","As III","+2","Arsenic","61450","60"
"33","As IV","+3","Arsenic","61410","60"
"33","As V","+4","Arsenic","61360","60"
"33","As VI","+5","Arsenic","61300","60"
"33","As VII","+6","Arsenic","61170","60"
"33","As VIII","+7","Arsenic","61040","60"
"33","As IX","+8","Arsenic","60850","50"
"33","As X","+9","Arsenic","60640","50"
"33","As XI","+10","Arsenic","60390","50"
"33","As XII","+11","Arsenic","60100","50"
"33","As XIII","+12","Arsenic","59760","50"
"33","As XIV","+13","Arsenic","59390","50"
"33","As XV","+14","Arsenic","58970","50"
"33","As XVI","+15","Arsenic","58510","50"
"33","As XVII","+16","Arsenic","57930","50"
"33","As XVIII","+17","Arsenic","57290","50"
"33","As XIX","+18","Arsenic","56620","50"
"33","As XX","+19","Arsenic","55890","50"
"33","As XXI","+20","Arsenic","55120","50"
"33","As XXII","+21","Arsenic","54310","40"
"33","As XXIII","+22","Arsenic","53390","40"
"33","As XXIV","+23","Arsenic","52430","40"
"33","As XXV","+24","Arsenic","50080","40"
